Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Japanese(ja),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"Relics",2702935726276608,,"RELICS",,,,,,
"heal",2702961638686720,,"HEAL",,,,,,
"Exit",4126486975004672,,"EXIT",,,,,,
"reroll",4144988691677184,,"REROLL",,,,,,
"Store",4145124952031232,,"STORE",,,,,,
"Light",4724268928647168,,"GAIN LIGHT",,,,,,
"event",4724347525709824,,"EVENT",,,,,,
"shrine",4724399312781312,,"SHRINE",,,,,,
"Play",19207868776497152,,"PLAY",,,,,,
"Unlocks",19207896005918720,,"UNLOCKS",,,,,,
"Credits",19207945444179968,,"CREDITS","test","test",,,"test",
"Settings",19208195185623040,,"SETTINGS",,,,,,
"NightFall",19208197542821888,,"NIGHTFALL",,,,,,
"Twillight",19208369681252352,,"TWILIGHT",,,,,,
"Dawn",19208493354500096,,"DAWN",,,,,,
"Continue",25314132740849664,,"Continue",,,,,,
"Victory",25348011220582400,,"VICTORY",,,,,,
"GameOver",25348048860266496,,"GAME OVER",,,,,,
"TotalDisksLaunched",25349711062941696,,"Total Disks Launched:",,,,,,
"TotalDisksLost",25349758756372480,,"Total Disks Lost:",,,,,,
"Total Juggles",25349830088900608,,"Total Juggles:",,,,,,
"HighestJuggle",25349931368759296,,"Highest Juggle:",,,,,,
"DiskDamage",25350073123651584,,"Disk Damage:",,,,,,
"DiskKills",25350113695154176,,"Disk Kills:",,,,,,
"QUIT",25430620772548608,,"QUIT",,,,,,
"GameArt",25435458231123968,,"Art:",,,,,,
"Programing",25435519690260480,,"Programing:",,,,,,
"CoverArt",25435571963871232,,"Cover Art:",,,,,,
"Music",25436111208759296,,"Music:",,,,,,
"MainMenuMusic",25436174576304128,,"Menu Music:",,,,,,
"SoundEffects",25436404831010816,,"Sound FX:",,,,,,
"UPGRADE",34773199242706944,,"UPGRADE",,,,,,
"MasterVolume",34773242561478656,,"Master Volume:",,,,,,
"MusicVolume",37351272991473664,,"Music Volume:",,,,,,
"Sound Effects",37351375475097600,,"SFX Volume:",,,,,,
"Display",37351464604057600,,"Display:",,,,,,
"MENU",40202456022433792,,"MENU",,,,,,
"RESUME",40202479644753920,,"RESUME",,,,,,
"WISHLIST",42845793808334848,,"WISHLIST ON STEAM",,,,,,
"CHOOSEREWARD",43141243270643712,,"CHOOSE YOUR REWARD",,,,,,
"PESTILENCE",47444472674435072,,"PESTILENCE",,,,,,
"LUST",47444557898498048,,"LUST",,,,,,
"VIOLENCE",47444586071638016,,"VIOLENCE",,,,,,
"Demo_D",47444611099049984,,"Thanks for playing the demo.  Continue your escape from hell in the full game.  Thats it for now!",,,,,,
"AttackSpeed",49625893388206080,,"Attack
Speed",,,,,,
"DamageBoost",49626010799357952,,"Damage
Boost",,,,,,
"DiskDamag",49626070530441216,,"Disk 
Damage",,,,,,
"Luck",49626137547030528,,"Luck",,,,,,
"Dodge",49626164096974848,,"Dodge",,,,,,
"criticalChance",49626276940529664,,"Critical
Chance",,,,,,
