Key,Id,English(en),German(de),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans),Russian(ru),Japanese(ja),Portuguese (Brazil)(pt-BR)
ancile_N,1.22533E+11,Ancile Shield,Ancile-Schild,Bouclier ancile,Escudo antiguo,安琪儿盾牌,Щит Ансиля,アンシル・シールド,Escudo Ancile
ancile_D,5.44517E+12,The true sacred shield of the twelve. On <color=#00e4ff>juggle</color> provides a {chance}% chance to spawn a <color=#00e4ff>shield guard</color>.,"Der wahre heilige Schild der Zwölf. Auf <color=#00e4ff>juggle</color> bietet eine{chance}% Chance, einen <color=#00e4ff>Schildwächter</color> zu spawnen.",Le véritable bouclier sacré des douze. Sur <color=#00e4ff>juggle</color> fournit un{chance}% de chances d'engendrer un <color=#00e4ff>shield guard</color>.,El verdadero escudo sagrado de los doce. En <color=#00e4ff>juggle</color> proporciona un{chance}% de probabilidad de generar un <color=#00e4ff>guardia escudo</color>.,十二个人中真正的圣盾。在<color=#00e4ff>juggle</color>上提供了一个{chance}有%的机会产生一个<color=#00e4ff>护盾</color>。,Истинный священный щит двенадцати. На <color=#00e4ff>жонглирование</color> обеспечивает{chance}% шанс породить <color=#00e4ff>щитоносца</color>.,十二人の真の聖なる盾。オン<color=#00e4ff>ジャグル</color>が提供するのは{chance}パーセントの確率で<color=#00e4ff>シールドガード</color>をスポーンさせる。,O verdadeiro escudo sagrado dos doze. Em <color=#00e4ff>juggle</color> fornece um{chance}% de chance de gerar um <color=#00e4ff>guarda-escudo</color>.
brokenPiggyBank_N,5.51002E+12,Broken Piggy Bank,Zerbrochenes Sparschwein,Tirelire cassée,Hucha rota,破损的储蓄罐,Сломанная копилка,壊れた貯金箱,Cofrinho quebrado
brokenPiggyBank_D,5.65949E+12,Least it still looks cute.,Wenigstens sieht es immer noch süß aus.,"Au moins, il est toujours aussi mignon.",Al menos sigue siendo bonito.,至少它看起来仍然很可爱。,"По крайней мере, она все еще выглядит мило.",少なくとも、まだかわいく見えます。,Pelo menos ainda está bonito.
gjallarhorn_N,5.76118E+12,Gjallarhorn,Gjallarhorn,Gjallarhorn,Gjallarhorn,Gjallarhorn,Гьяллархорн,ジャルジャルホルン,Gjallarhorn
gjallarhorn_D,5.90625E+12,Trumpets roar of the vikings. On {requiredCount} <color=#00e4ff>juggles</color> releasing a barrage of projectiles which dealing {damage.amount} damage per hit over {duration} seconds.,"Trompetengebrüll der Wikinger. Auf{requiredCount} <color=#00e4ff>jongliert</color> und lässt eine Flut von Geschossen los, die{damage.amount} Schaden pro Treffer über{duration} Sekunden.",Le rugissement des trompettes des vikings. Sur{requiredCount} <color=#00e4ff>jongle</color> libérant un barrage de projectiles qui infligent des dégâts de{damage.amount} dégâts par coup sur{duration} secondes.,Rugido de trompetas de los vikingos. En{requiredCount} <color=#00e4ff>juggles</color> soltando una andanada de proyectiles que infligen{damage.amount} daño por impacto sobre{duration} segundos.,维京人的号角吼叫。在{requiredCount}<color=#00e4ff>杂耍</color>释放出一连串的投射物，这些投射物会对人体造成伤害。{damage.amount}每一击的伤害超过{duration}秒。,"Трубный рев викингов. На сайте{requiredCount} <color=#00e4ff>жонглирует</color>, выпуская шквал снарядов, которые наносят{damage.amount} урон за попадание более{duration} секунды.",ヴァイキングのトランペット咆哮。オン{requiredCount}<color=#00e4ff>ジャグリング</color>の弾丸を放ち、その弾丸で攻撃する。{damage.amount}を超えるヒット数でダメージを与える。{duration}の秒数です。,Rugido das trombetas dos vikings. Em{requiredCount} <color=#00e4ff>juggles</color> liberando uma barragem de projéteis que causam{damage.amount} dano por acerto acima de{duration} segundos.
grimrArrow_N,5.9917E+12,Grimr's Arrow,Grimrs Pfeil,Flèche de Grimr,Flecha de Grimr,格里姆尔之箭,Стрела Гримра,グリムルアロー,Flecha de Grimr
grimrArrow_D,6.07137E+12,"An arrow gifted to his son.  Passive increase to {baseAtkSpeed}% <color=#00e4ff>attack speed</color>, {basePlayerStats.critChance}% critical chance, and {basePlayerStats.luck} luck.","Ein Pfeil als Geschenk für seinen Sohn.  Passive Erhöhung auf{baseAtkSpeed}% <color=#00e4ff>Angriffsgeschwindigkeit</color>,{basePlayerStats.critChance}% kritische Chance, und{basePlayerStats.luck} Glück.","Une flèche offerte à son fils.  Augmentation passive à{baseAtkSpeed}% <color=#00e4ff>vitesse d'attaque</color>,{basePlayerStats.critChance}% de chance critique, et{basePlayerStats.luck} chance.","Una flecha regalada a su hijo.  Aumento pasivo a{baseAtkSpeed}% <color=#00e4ff>velocidad de ataque</color>,{basePlayerStats.critChance}% de probabilidad crítica, y{basePlayerStats.luck} suerte.",赠予儿子的箭。  被动增加到{baseAtkSpeed}% <color=#00e4ff>攻击速度</color>、{basePlayerStats.critChance}%的关键机会，以及{basePlayerStats.luck}运气好。,"Стрела, подаренная сыну.  Пассивное увеличение до{baseAtkSpeed}% <color=#00e4ff>скорость атаки</color>,{basePlayerStats.critChance}% критического шанса, и{basePlayerStats.luck} удача.",息子に贈られた矢。  へのパッシブアップ{baseAtkSpeed}% <color=#00e4ff>攻撃速度</color>、{basePlayerStats.critChance}% クリティカルチャンスであり{basePlayerStats.luck}の運びとなります。,"Uma flecha presenteada a seu filho.  Aumento passivo para{baseAtkSpeed}% <color=#00e4ff>velocidade de ataque</color>,{basePlayerStats.critChance}% de chance crítica, e{basePlayerStats.luck} sorte."
holyWater_N,6.42906E+12,Holy Water,Weihwasser,Eau bénite,Agua bendita,圣水,Святая вода,ホーリーウォーター,Água benta
holyWater_D,6.71158E+12,Burn demons on hit chance.,Dämonen bei Trefferchance verbrennen.,Brûle les démons sur les chances de toucher.,Quema demonios al golpear.,燃烧恶魔的命中率。,Сжигание демонов при попадании в цель.,命中確率で悪魔を燃やす。,Queima demônios na chance de acerto.
